pair_id,source_run_dir,source_seed,run_id,generation,model_name,example_id,A_branch,B_branch,old_llama_score_pure,old_llama_score_anchor,old_llama_silent_pure,old_llama_silent_anchor,old_llama_delta_anchor_minus_pure
pair_0001,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_72861951c495a29c,pure_recycling,anchor_20_append,0.0,0.0,True,True,0.0
pair_0002,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_3f6e2f7a4278979f,anchor_20_append,pure_recycling,8.0,0.0,False,True,-8.0
pair_0003,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_b084a599b5187cf9,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0004,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_f5191c8862492184,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0005,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_4c5aa7c186c9bbf5,anchor_20_append,pure_recycling,8.0,6.0,False,False,-2.0
pair_0006,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_bcd3e5adf2ff438a,anchor_20_append,pure_recycling,0.0,8.0,False,False,8.0
pair_0007,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_b996529edad3eb91,anchor_20_append,pure_recycling,8.0,8.0,False,False,0.0
pair_0008,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_dc4c849f839c607b,pure_recycling,anchor_20_append,0.0,0.0,False,True,0.0
pair_0009,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_09ba9b7016fb4b6c,anchor_20_append,pure_recycling,1.0,8.0,True,False,7.0
pair_0010,outputs\runs\training_confirmatory_anchor20_seed71_20260425_141959,71,didactic_collapse_training_confirmatory_anchor20_seed71_20260425_141959,1,qwen2.5:0.5b__pure_recycling__ft_g1_s71,gsm8k_5d837ba1d990c6ef,pure_recycling,anchor_20_append,6.0,6.0,True,True,0.0
