model_name,branch,generation,defect_name,seed_count,rate_before_mean,rate_after_mean,delta_after_minus_before
qwen2.5:0.5b,dbr_medium,0,incorrect_answer,3,0.6066666666666666,0.5901147912553922,-0.01655187541127434
qwen2.5:0.5b,dbr_medium,0,low_reasoning,3,0.48666666666666664,0.4756159976603056,-0.011050669006361036
qwen2.5:0.5b,dbr_medium,0,low_structure,3,0.37333333333333335,0.3680997294728376,-0.005233603860495761
qwen2.5:0.5b,dbr_medium,0,parse_failure,3,0.04,0.0,-0.04
qwen2.5:0.5b,dbr_medium,0,silent_error,3,0.24333333333333332,0.22954595305988157,-0.01378738027345175
qwen2.5:0.5b,dbr_medium,1,incorrect_answer,3,0.5866666666666667,0.5747715557638239,-0.011895110902842787
qwen2.5:0.5b,dbr_medium,1,low_reasoning,3,0.4566666666666667,0.455285240723385,-0.0013814259432817222
qwen2.5:0.5b,dbr_medium,1,low_structure,3,0.3433333333333333,0.3387830191953903,-0.004550314137943046
qwen2.5:0.5b,dbr_medium,1,parse_failure,3,0.02666666666666667,0.0,-0.02666666666666667
qwen2.5:0.5b,dbr_medium,1,silent_error,3,0.22999999999999998,0.2262053524940123,-0.0037946475059876805
qwen2.5:0.5b,dbr_medium,2,incorrect_answer,3,0.56,0.5424248664150898,-0.017575133584910252
qwen2.5:0.5b,dbr_medium,2,low_reasoning,3,0.4766666666666666,0.46641091180933875,-0.010255754857327881
qwen2.5:0.5b,dbr_medium,2,low_structure,3,0.36999999999999994,0.35927588846462033,-0.01072411153537961
qwen2.5:0.5b,dbr_medium,2,parse_failure,3,0.03666666666666667,0.0,-0.03666666666666667
qwen2.5:0.5b,dbr_medium,2,silent_error,3,0.25666666666666665,0.24932293601801325,-0.0073437306486534015
