run_id,seed,generation,defect_name,allowed_rate,allowed_count,actual_count,violation_count
dbr_confirmatory_seed211_20260428_222918,211,0,incorrect_answer,0.3,15,31,16
dbr_confirmatory_seed211_20260428_222918,211,0,low_reasoning,0.25,12,23,11
dbr_confirmatory_seed211_20260428_222918,211,0,low_structure,0.3,15,12,0
dbr_confirmatory_seed211_20260428_222918,211,0,parse_failure,0.0,0,0,0
dbr_confirmatory_seed211_20260428_222918,211,0,silent_error,0.1,5,14,9
dbr_confirmatory_seed211_20260428_222918,211,1,incorrect_answer,0.3,15,28,13
dbr_confirmatory_seed211_20260428_222918,211,1,low_reasoning,0.25,12,22,10
dbr_confirmatory_seed211_20260428_222918,211,1,low_structure,0.3,15,17,2
dbr_confirmatory_seed211_20260428_222918,211,1,parse_failure,0.0,0,0,0
dbr_confirmatory_seed211_20260428_222918,211,1,silent_error,0.1,5,7,2
dbr_confirmatory_seed211_20260428_222918,211,2,incorrect_answer,0.3,15,26,11
dbr_confirmatory_seed211_20260428_222918,211,2,low_reasoning,0.25,12,26,14
dbr_confirmatory_seed211_20260428_222918,211,2,low_structure,0.3,15,16,1
dbr_confirmatory_seed211_20260428_222918,211,2,parse_failure,0.0,0,0,0
dbr_confirmatory_seed211_20260428_222918,211,2,silent_error,0.1,5,14,9
dbr_confirmatory_seed212_20260428_230709,212,0,incorrect_answer,0.3,15,33,18
dbr_confirmatory_seed212_20260428_230709,212,0,low_reasoning,0.25,12,24,12
dbr_confirmatory_seed212_20260428_230709,212,0,low_structure,0.3,15,18,3
dbr_confirmatory_seed212_20260428_230709,212,0,parse_failure,0.0,0,0,0
dbr_confirmatory_seed212_20260428_230709,212,0,silent_error,0.1,5,13,8
dbr_confirmatory_seed212_20260428_230709,212,1,incorrect_answer,0.3,15,28,13
dbr_confirmatory_seed212_20260428_230709,212,1,low_reasoning,0.25,12,23,11
dbr_confirmatory_seed212_20260428_230709,212,1,low_structure,0.3,15,16,1
dbr_confirmatory_seed212_20260428_230709,212,1,parse_failure,0.0,0,0,0
dbr_confirmatory_seed212_20260428_230709,212,1,silent_error,0.1,5,16,11
dbr_confirmatory_seed212_20260428_230709,212,2,incorrect_answer,0.3,15,29,14
dbr_confirmatory_seed212_20260428_230709,212,2,low_reasoning,0.25,12,23,11
dbr_confirmatory_seed212_20260428_230709,212,2,low_structure,0.3,15,19,4
dbr_confirmatory_seed212_20260428_230709,212,2,parse_failure,0.0,0,0,0
dbr_confirmatory_seed212_20260428_230709,212,2,silent_error,0.1,5,11,6
dbr_confirmatory_seed213_20260430_115105,213,0,incorrect_answer,0.3,15,25,10
dbr_confirmatory_seed213_20260430_115105,213,0,low_reasoning,0.25,12,19,7
dbr_confirmatory_seed213_20260430_115105,213,0,low_structure,0.3,15,13,0
dbr_confirmatory_seed213_20260430_115105,213,0,parse_failure,0.0,0,0,0
dbr_confirmatory_seed213_20260430_115105,213,0,silent_error,0.1,5,11,6
dbr_confirmatory_seed213_20260430_115105,213,1,incorrect_answer,0.3,15,24,9
dbr_confirmatory_seed213_20260430_115105,213,1,low_reasoning,0.25,12,22,10
dbr_confirmatory_seed213_20260430_115105,213,1,low_structure,0.3,15,13,0
dbr_confirmatory_seed213_20260430_115105,213,1,parse_failure,0.0,0,0,0
dbr_confirmatory_seed213_20260430_115105,213,1,silent_error,0.1,5,12,7
dbr_confirmatory_seed213_20260430_115105,213,2,incorrect_answer,0.3,15,19,4
dbr_confirmatory_seed213_20260430_115105,213,2,low_reasoning,0.25,12,18,6
dbr_confirmatory_seed213_20260430_115105,213,2,low_structure,0.3,15,13,0
dbr_confirmatory_seed213_20260430_115105,213,2,parse_failure,0.0,0,0,0
dbr_confirmatory_seed213_20260430_115105,213,2,silent_error,0.1,5,9,4
